index,acc_x_n,acc_y_n,acc_z_n,gyr_x_n,gyr_y_n,gyr_z_n,mag_x_n,mag_y_n,mag_z_n,acc_x_r,acc_y_r,acc_z_r,gyr_x_r,gyr_y_r,gyr_z_r,mag_x_r,mag_y_r,mag_z_r,q1n,q2n,q3n,q4n,q1r,q2r,q3r,q4r
0,-0.843994141,0.182128906,-0.487792969,0.099602225,0.118776985,0.026631611,1489,-197,-6187,-0.974853516,-0.121582031,-0.119140625,-0.037816887,0.076166407,-0.035153726,-5410,743,-946,-0.106321912,-0.86367905,0,0.492700872,0.082074438,-0.748462499,0,0.658078776
1,-0.840576172,0.178222656,-0.481933594,0.068176924,0.166181252,0.054861118,1489,-197,-6187,-0.979248047,-0.1171875,-0.114990234,-0.035153726,0.066046395,-0.004261058,-5410,743,-946,-0.105674642,-0.865430012,0.00125494,0.489757276,0.081589111,-0.749364119,-0.000401552,0.657112222
2,-0.837646484,0.177246094,-0.489257813,0.045273739,0.177366529,0.069242188,1485,-204,-6223,-0.977783203,-0.129882813,-0.118164063,-0.076166407,0.097471696,-0.000532632,-5398,692,-1299,-0.105551864,-0.867231355,0.002504518,0.486582274,0.080489651,-0.750739247,-0.001278627,0.655675502
3,-0.846923828,0.171386719,-0.479248047,-0.005326322,0.165115988,0.063383234,1485,-204,-6223,-0.979980469,-0.125244141,-0.119628906,-0.088416948,0.041545313,-0.044741106,-5398,692,-1299,-0.106219669,-0.868748267,0.003159172,0.483718772,0.079760875,-0.751393278,-0.003049078,0.655009196
4,-0.84375,0.185791016,-0.486572266,-0.004261058,0.172572839,0.010120012,1478,-216,-6219,-0.979003906,-0.121826172,-0.117675781,-0.119309617,0.018642128,-0.009054748,-5407,743,-936,-0.106412016,-0.870333145,0.002917347,0.480820328,0.078088469,-0.751784927,-0.004714251,0.654751395
5,-0.843994141,0.178955078,-0.488037109,-0.007456851,0.18002969,0.026631611,1478,-216,-6219,-0.976074219,-0.123779297,-0.118408203,-0.161920194,0.059122176,0.018642128,-5407,743,-936,-0.106785794,-0.871960275,0.002895055,0.477779961,0.075431121,-0.752762584,-0.006470443,0.653924133
6,-0.844726563,0.174316406,-0.485839844,0.001065264,0.121972778,0.05752428,1476,-219,-6206,-0.979003906,-0.121826172,-0.115722656,-0.18002969,0.06231797,-0.02876214,-5407,737,-938,-0.107277259,-0.873026013,0.003599389,0.475714426,0.073113503,-0.753772934,-0.009163556,0.652990665
7,-0.84375,0.1796875,-0.486328125,-0.029827404,0.100134857,0.086819052,1476,-219,-6206,-0.974609375,-0.115722656,-0.121337891,-0.125701203,0.101200121,-0.026098979,-5407,737,-938,-0.108594724,-0.873802965,0.004571969,0.473977491,0.071563228,-0.755209008,-0.011030562,0.651472475
8,-0.845703125,0.177490234,-0.485595703,-0.085221155,0.149137021,0.042610577,1468,-217,-6205,-0.978271484,-0.118652344,-0.120117188,-0.119842249,0.109189605,-0.01917476,-5415,746,-932,-0.110444098,-0.8749062,0.004124726,0.471512703,0.070023838,-0.756713363,-0.012712674,0.649861474
9,-0.848632813,0.178466797,-0.48828125,-0.090014845,0.150202285,0.067644292,1468,-217,-6205,-0.975585938,-0.116455078,-0.120361328,-0.087884316,0.105461179,-0.039414784,-5415,746,-932,-0.112597851,-0.875987859,0.004057108,0.468988843,0.069219996,-0.758100581,-0.01428101,0.648296347
